Course Code,Course Name,Attended,Occurred,Percentage
APTI401,Aptitude-IV,9,13,69
BUPRP,Preparatory Paper,1,1,100
BULAB,Practice Lab,0,0,0
SBC,Soft Skill Boot Camp,25,26,96
AEC00006C,Alternative English,0,0,0
BCA47111 (T),Design and Analysis of Algorithm,22,24,92
BCA47111 (P),Design and Analysis of Algorithm,41,55,75
BCA49112,PHP and MySQL Lab,36,45,80
BCA47113 (T),Full-Stack Development-I,20,26,77
BCA47113 (P),Full-Stack Development-I,44,56,79
BCA40201,Sustainability in Indian Knowledge System,46,51,90
BCA40202,Computer Network,47,53,89
